question	answer
我之前是做活動假牙，但一直沒辦法適應，是否能改作植牙？	一般來說，活動假牙的設計有金屬網架在內部支撐整體結構，就像建築物有大樑及柱子支撐一樣，由於體積龐大易讓病患有異物感，尤其對咽喉反射敏感者常會覺得不舒服且想吐，此時人工植牙就可能是唯一選擇，因為植牙與自然牙無論是外形及功能都可逼真，所以對缺牙患者而言是最佳選擇。
我有骨質疏鬆症，是否可做植牙？	一般骨質疏鬆症的病患主要是停經後婦女因女性荷爾蒙減少所致，男性較少發生。骨質疏鬆是人體鈣質漸漸流失，主要發生在四肢骨，鮮少發生在口腔周圍的顎骨，所以大部份患者還是經檢查後可進行植牙手術。但若病患有服用防止骨質疏鬆的藥物如雙磷酸鹽類者(例如福善美)則不可進行植牙手術，因此類藥物會抑制骨細胞活性讓骨整合作用失效，會造成植牙失敗，所以有服用此類藥物者是不適合做植牙的。
我門牙想植牙，手術後可以馬上有假牙嗎？	現在植體設計有新型問世，植牙後可立即負載裝上臨時假牙，但仍應注意不可過度施力咀嚼否則會引起植牙骨質受力過大導致失敗。
請問想要植牙但條件不佳的標準是什麼？	一般來說，拔牙後若無作牙嵴保存或拔牙時外力造成骨板斷裂，很容易傷口復原後形成骨質缺損，因而使得齒槽骨變薄及萎縮，不利日後植牙也失去美觀。一般來說人工牙根置入齒槽骨後應在其二側(頰側及舌側)至少有1mm的骨質支撐，而大部份植體廠牌之最小直徑為3~4mm，因此若齒槽骨(牙床)寬度若少於7mm就可稱為骨質條件不佳，一般常用三明治法來增加骨質寬度，方法是將齒槽骨劈開再將植體放入中間就像熱狗麵包一樣，中間的空隙補上人工骨材靜待4~6個月長骨即可。
什麼是雷射植牙，它與一般傳統方式有何不同？	傳統植牙手術方式是用手術刀片劃開牙齦傷口易出血，而雷射植牙則是採用牙科雷射的高能量切開軟組織，組織容易剝離減少傷口撕裂風險，而雷射熱能可將組織蛋白質固化減少出血。另外若植牙手術區有細菌感染或肉芽組織則雷射可直接消毒滅菌去除不良生長組織促進新生，避免植牙失敗。它的優點是傷口不易出血、術後易癒合；缺點是儀器成本過高，醫師需接受專門訓練。
植牙失敗後能重新再植嗎？	植牙失敗後仍可重新植牙，只是植牙區骨質條件變差，需進行補骨、引導組織再生等輔助手術以增加成功率。
是否缺幾顆牙就一定要植幾顆牙？可否數目較少？	照理來說，缺牙數可不等於植牙顆數。如上顎全口缺牙（除智齒不算，應補 14 顆牙），若病患骨質條件好，且植入位置適當，是可以只植 10 ~ 12 顆人工牙根再作上 14 顆假牙。但正確觀念是植牙顆數越多，可共同分擔咬合力，萬一日後有失敗的人工牙根還可保持假牙的功能性。病例一:洪先生，63歲，上顎無牙，希望植牙恢復正常功能上顎共植入十顆植體，作上十二顆牙下顎共五顆植體，作上八顆牙病例二:陳先生，61歲，全口牙周病，希望植牙恢復正常功能上顎植入十顆植體，作上十二顆牙下顎植入七顆植體，作上九顆牙
什麼是雷射植牙，它與一般傳統方式有何不同？	以下是雷射植牙與傳統植牙的比較
			雷射植牙傳統植牙
			傷口切割及翻瓣容易不容易
			植牙定位容易定位易偏移
			消毒殺菌有效殺菌無法殺菌
			傷口癒合快慢
			傷口出血不易出血易出血
		
我有抽煙及吃檳榔習慣是否不適合植牙？	現代牙醫學已證實抽煙會加速牙周病進行，抽煙所導致的口腔高溫也易影響植牙傷口的癒合。檳榔是粗纖維食物，過度咀嚼會使牙齒磨損加快，所以為了延長植牙壽命還是請戒煙及戒檳榔。案例:陳先生，36歲，有抽煙吃檳榔習慣，全口嚴重牙周病
拔牙後是否應等傷口好了再植牙？還是可以馬上植牙？	過去傳統觀念認為拔牙後需等傷口癒合後再進行植牙，一來有初期穩定度(Primary Stability)，二來植牙區無傷口感染(infection)風險。但現在新觀念是剛拔牙時植牙區軟硬組織還未萎縮，同時植牙可保留較多原來組織的寬度及高度，植牙後美觀較佳。利用雷射儀器可消除感染風險，所以即拔即種將是未來趨勢。案例汪小姐，38歲，門牙有牙周病及根尖病變
