question	answer
 我的牙醫告訴我有牙周病，症狀為何？可以治好嗎？   	 牙周病顧名思義就是牙齒周圍組織發生疾病，它的病因是病患口腔衛生不良，無法徹底清除牙齒表面殘餘食物，導致細菌附著其上，形成牙菌斑，而細菌由於新陳代謝產生毒素會刺激牙齦軟組織造成牙齦炎，此時症狀為牙肉輕微紅腫，刷牙偶爾流血但不嚴重，若不治療，則慢性擴大深入牙齦下齒槽骨，開始牙齦萎縮，時有口臭，刷牙流血不止，甚至有牙齒動搖，冷熱酸痛，無法咬硬物，這就是牙周病。 牙周病治療可分三階段：超音波震盪擊碎附著在牙齒表面的牙結石，即俗稱洗牙。牙根整平術：利用牙周刮刀去除牙齦下牙周囊袋內牙結石及發炎肉芽組織。牙周翻瓣手術：在局部麻醉下，將牙齦切開並翻開，去除已受病害之軟硬組織，需要時並植入人工骨粉創造良好牙根生長環境，最後縫合傷口。牙周病所造成的牙齦萎縮及齒槽骨吸收，在現今牙醫學並無法使其恢復原狀，只能修護已破壞組織不讓它繼續惡化，建議大家養成良好口腔衛生習慣，定期找專業牙醫師檢查，早期發現早期治療！
 蛀牙或牙周病會遺傳嗎？	 蛀牙與牙周病都是細菌所引起的疾病，理論上與遺傳無關，但齒列擁擠（與遺傳有關）、家庭衛生教育不良、家庭經濟狀況、看診習慣、父母生活習性……等都會影響口腔狀況。只要自身做好口腔衛生，就不怕口腔疾病發生！
 我有糖尿病也有牙周病，醫師說兩者有相關，是真的嗎？   	 糖尿病患者因組織液含糖較高，致細菌容易繁衍生長，牙周病情況比一般人嚴重且不易控制，尤其是口腔衛生習慣不良，裝戴活動假牙的老人更明顯，因此首要工作就是加強清潔習慣，若因肢體動作較不靈活，可使用電動牙刷輔助。
 我有嚴重牙周病，牙醫師告訴我該全部拔掉，如果全拔光了，該怎麼做假牙？ 	 牙周病依年紀（發病時間）可分年輕型及成人型：拔牙是痛苦也是不得已的決定，若為全口拔牙，可作全口義齒恢復咬合功能，現今人工植牙技術成熟且進步，可為病患解決缺牙痛苦。
 牙周病可以吃藥嗎？還是有什麼藥物可幫助？   	 牙周病基本上是一種組織經過長期或急性發炎所造成的萎縮及退化，因此一旦牙周病發生，萎縮的牙齦組織及齒槽骨破壞是無法恢復的，牙周病目前無特效藥可治，治療方式簡單說就是清除致病的牙結石及改善口腔衛生習慣。造成牙周病的口腔細菌有特殊的族群，大多是厭氧性細菌，口服抗生素（消炎藥）能有抑制細菌及殺菌的效果，但進入人體腸道後也殺死了對人體有益的細菌，故不是長期有效的好方法，現在以發展新的局部用藥方式，利用微細針筒將抗生素（針對牙周病致病細菌有效）擠入牙周囊袋內，再利用微釋放系統慢慢溶解並釋出藥物，達到治療的目的。
 我因牙周病被牙醫拔了許多牙，現在想植牙，牙醫卻告訴我最好戒煙，可是我是老煙槍，怎麼辦？  	現代牙醫臨床已證實抽煙會加重牙周病的病情（註：抽煙不會造成牙周病但會加重牙周病），因此有牙周病的老煙槍的確應考慮戒煙來挽救自己所剩不多的牙齒。人工植牙在結構上可分骨內及口內兩部份，中間再用螺絲釘串起鎖緊，若是口腔衛生習慣不良或抽煙造成植體周圍發炎，將會減損人工植牙的使用壽命。
 請問牙菌斑顯示劑有何作用？	一般人都有刷牙習慣，但可能不知道刷得乾不乾淨！牙菌斑顯示劑塗抹在牙齒表面，如果有牙菌斑殘留就會顯示出紅色；如果是無牙菌斑就會呈現潔白牙齒。想要知道刷牙的效果，用牙菌斑顯示劑可客觀表現有無徹底清潔，常有蛀牙的兒童及牙周病患是最需要利用此工具來進行檢測！
 為什麼有牙醫師說我有牙周病，叫我每半年洗一次牙，這樣就可以了嗎？	 牙周病顧名思義就是牙齒周圍的疾病，它是因為口腔清潔作得不夠徹底，造成細菌有機會在牙菌斑上生長，進而分泌毒素刺激牙齦組織，長期下來慢性發炎的結果就是牙齒周圍組織的破壞，牙齒的健康必須要有好的支持組織，牙周病的慢性破壞使得牙齒的支持發生問題，就會產生搖動，嚴重者牙齒會因此脫落！正本清源之道要先把口腔衛生習慣改善，正確刷牙及使用牙線，已發生的牙結石堆積必須清除，嚴重者甚至必須手術治療定期追蹤，避免牙周病惡化或再發！
 每次洗牙時都讓我牙齒酸痛的受不了，可以不洗嗎？有方法可以改善嗎？	 洗牙時牙齒會酸痛的受不了，大概有二個原因：牙醫師將超音波震盪機的能量開太大，可請醫師開小點並溫柔點。牙齦嚴重萎縮造成牙根暴露，使得牙齒較敏感，可請牙醫師上局部麻醉後再操作。洗牙可將附著在牙根表面的牙結石清除掉，若因怕酸痛而不洗牙恐怕牙周病會愈來愈嚴重，最後可能導致掉牙！
 牙醫叫我每半年要洗牙一次，可是這樣會不會牙齒愈洗愈薄？	洗牙是牙醫師對「牙結石清除術」的俗稱，它主要是清除牙齒表面附著的有害物質－牙結石，牙醫師是利用超音波震盪機來操作，此醫療行為屬健保給付的範圍；而飲食（如茶、咖啡）、抽煙或嚼檳榔所造成的色素沉積，只會影響美觀而不影響健康，所以不列入健保給付範圍。如欲清除牙齒表面的色素沉積可採用噴砂機，利用高速噴出的三氧化鋁微細顆粒磨擦牙齒琺瑯質，使牙齒表面沉積的污垢去除乾淨，恢復牙齒原有的淨白（但這可不是牙齒漂白）， 下次去牙科可先把您的目的告訴您的牙醫師，看是要噴砂美白還是清除牙結石，以免表錯情會錯意！
