question	answer
帶牙套差不多要幾元	關於治療費用的部分，因個人狀況不同而有異，建議您於門診中與醫師討論，方能得到確切的答覆。請您於牙科門診時間來電（牙科專線04-7255139），由專人為您預約，謝謝~
有顳顎關節問題, 嘴巴無法張開太大, 如果張太大下巴會合不回去,想請問岡山牙科有相關的醫生可以看診嗎?	您好~如果是突發性的下巴合不回去,可以至本院(岡山秀傳)牙科就診復位.如果是習慣性的下巴脫臼,要獲得比較完全的根治(不再容易脫臼)則必須至醫學中心就診,考慮以手術的方式根治.
我有顳顎關節的問題，想要做進一步的檢查和治療，方便提供醫生的看診時間和姓名嗎？謝謝。	您好~關於您的問題，建議預約彰濱秀傳口腔外科劉漢邦醫師門診（劉醫師的門診時間為週一早上、下午、晚上；週四上午；及週五上午。）。請您於牙科門診時間來電（牙科專線04-7812868），由專人為您預約，謝謝~
有沒有作迷你植體+活動假牙，費用要多少?	您好~本院有提供迷你植體+活動假牙的服務，但費用因材質及個人狀況不同而有異，建議您於門診中與醫師討論，方能得到確切的答覆。請您於牙科門診時間來電（牙科專線04-7255139），由專人為您預約，謝謝~
請問做磨牙牙套健保有補助嗎費用大概多少錢有分材質嗎謝謝回答	您好。健保並未補助磨牙牙套的製作，且費用因材質及個人狀況不同而有異，建議您於門診中與醫師討論，方能得到確切的答覆。請您於牙科門診時間來電（牙科專線04-7255139），由專人為您預約，謝謝~
陳醫師你好,上次給你看牙齒狀況(20年假牙咬合會痛那個)我忘記詢問如果要做假牙,假如是45-46-47-48做假牙,45&48做支撐,這樣費用多少?請以最便宜的假牙材質做估價,畢竟20年沒用過假牙咬食物了,要不是裡面蛀牙,轉變成痛到不能睡,我也不想換,而且這3個多月,一直吃克他服寧,我有爬過文看它的副作用,怕怕的!	您好。關於您的提問，近期將由專人致電，就您的狀況予以回覆。
請問欲拔除智齒可掛那幾位醫師的門診另請問預約看診當天即可拔除或是先看診下次再拔如是由診所轉診是否當天即可拔除以上謝謝解答	智齒拔除可預約本院口腔外科進行處置，至於治療計畫，則需經醫師就門診現狀進行評估後方能確認。建議您於牙科門診時間來電（牙科專線04-7255139），由專人為您預約口腔外科，謝謝~
請問貴院有幫人做假牙鑽孔,抽神經嗎? 之前有去過幾家診所&大型醫院,都沒人願意做,不想再花錢做假牙了,這個假牙讓我一朝被蛇咬十年怕草繩,做完到現在咬食物都會痛,已經二十幾年了,現在更誇張了,整天都在痛,照過X光顯示裡面是蛀牙,當初牙醫沒抽神經,害我從沒用過假牙咬過東西!我從網路爬文,有人跟我類似案例,但是他有找到醫生願意幫他鑽孔抽神經再補起來,所以詢問貴願碰碰運氣,看有沒佛心來著的醫師!!感恩!(牙痛要人命啊)	您好，您提到的問題，牽涉到假牙及根管治療項目，需要專業醫師於門診檢查後，才能確認如何治療以解決您的困擾。歡迎您撥打秀傳牙科約診專線04-7255139，感謝您的留言。
我戴牙套的時候照X光~才發現我上兩排智齒~後面肉眼看不到得地方~就是照X光才會看到~多了四五顆小牙齒~這會有什麼影響嗎~我矯正科醫生說不會贏影響可是我覺得不可能不影響~萬一哪天智齒拔了後面小牙齒長大怎辦~而且還看不到~	您所敘述之牙患狀況，仍需由專業醫師於門診做進一步檢查方能確定，建議來電預約，秀傳牙科部醫師將提供您專業諮詢醫療服務。牙科預約專線04-7255139，感謝您的留言。
醫生您好，如果上排第二臼齒牙縫長期有臭味，如果此牙根發炎並與上頷竇相接，是否可能此牙根的臭味會傳到鼻腔，在從鼻子出來？因為我鼻子會呼出臭味，看過牙醫，也無蛀牙與牙周病，唯一只有這顆牙齒有臭味，但牙醫生只讓位定期清洗，鼻內試鏡也無異狀，若真是此科牙齒造成，是否拔掉此牙齒就可以解決。	您好，就您提到牙縫味道及鼻腔味道的問題，建議您至門診，由口腔外科、牙周病科orENT醫師檢查，找出確切的原因，才可能解決您的困擾。
