question	answer
施打Denosumab (PROLIA* 保骼麗注射液)後須間隔多久才能進行牙科的處置？	建議可於注射該藥3-4個月後至牙科評估，6個月後進行相關處置治療。                                                  1.此藥不會和骨頭結合，對骨頭的影響時間約為6個月。                                                  2.根據2014年美國口腔顎面外科學會針對「藥物相關顎骨壞死症」的報告：                                                      (1)顎骨壞死的風險依疾病種類(癌症或骨質疏鬆)、使用的藥品及治療時間、牙科病史等而有不同。                                                     (2)目前對於施行牙科侵入性治療前，並沒有明確建議是否需停用此類藥物。有些學者認為使用雙磷酸鹽類藥物少於2年或使用denosumab(保骼麗)可不須停藥。有些學者認為使用雙磷酸鹽類藥物大於4年或同時具有其他危險因子(如使用類固醇、糖尿病、抽菸等)，則可能需要停藥。                                                  3.廠商評估注射此藥後3-4個月後可至牙科(依藥物動力學數據及抑制骨代謝指標(CTX)的情形作出推測)，評估是否可進行進一步的治療。                                                  4.由於未使用雙磷酸鹽類藥物或denosumab(保骼麗注射液)者亦可能會發生顎骨壞死症，所以平常落實口腔保健工作是很重要的。特別是在接受牙科手術之後，如果出現持續疼痛及/或口腔或顎骨癒合緩慢的現象，應儘速告知牙醫師。
長期服用降血壓藥(例如：amlodipine)須避免飲用葡萄柚汁。請問：可以吃文旦嗎？	柑橘類水果可能都有類似的交互作用，但是影響的程度、以及受影響藥品的用途是考慮這個問題的關鍵。建議如下：(1)Warfarin：吃少量，應景就好 (例：一瓣)；(2)降血壓藥：多量血壓，注意受影響的程度；(3)免疫抑制劑(例如：Ciclosporine, Tacrolimus)：應避免。
停用Atropine oph soln (硫酸阿拖品點眼液)後，其散瞳(mydriatic)情形多久可恢復？	Atropine眼藥水的散瞳(mydriatic)作用可長達7-12天。                                                  1.Atropine是抗膽鹼藥，具散瞳(mydriatic)及捷狀肌麻痺(cycloplegic)作用，可用於治療假性近視。                                                  2.最大的散瞳作用發生在30-40分鐘，通常會持續7-12 天；最大的捷狀肌麻痺作用約在數小時後，可持續14天或更久。                                                  3.虹彩顏色較深者其起始作用(onset)可能較緩慢、作用時間(duration)更久。
感冒是否需要使用抗生素治療？	一般傷風感冒是由病毒(Virus)引起，大多數情況下不需服用抗生素，但如有細菌感染時，則需服用。
近日將出國前往瘧疾感染危險地區，應如何服用預防藥物？	瘧疾是由瘧原蟲所引起的傳染病，主要來源是東南亞地區、非洲及大洋洲，欲前往瘧疾流行地區短期旅行或工作者可能需服用預防藥物。請儘量於出國前一個月，先向醫師諮詢，評估感染之風險、預防性投藥之需求。即使正確使用預防用藥，並不保證百分之百的保護力，因此個人防護措施也相當重要。根據美國CDC及衛福部疾病管制署指引，mefloquine用於前往有綠奎寧抗藥性的地區（如東南亞、非洲、南美洲雨林區，以及南太平洋島嶼等等）旅遊之預防藥物。大人及體重超過 45 kg孩童：每週一顆，前往流行地區前2-3週開始吃，離開流行區後再持續4週。使用mefloquine的禁忌：對mefloquine 過敏、癲癇、懷孕期前 3個月、體重小於 5公斤的孩童以及情緒性疾病病史者；輕微的副作用相當常見如噁心、嘔吐、頭痛、腹痛、腹瀉、食慾不良、頭暈以及睡眠障礙等等。MALARONE是疾管署專案進口用藥，用於預防瘧疾時，成人每天服用一顆，須於出發1~2天前開始吃，並持續服用至旅遊回來後七天。
戒菸貼片(尼古丁貼片)應如何使用？	對於戒菸的患者，藥品治療最主要的目標是在緩解患者在戒菸期間的尼古丁戒斷症狀，使患者能更容易戒掉吸菸的習慣，而尼古丁替代療法(例如:貼片、咀嚼錠、口含錠、吸入劑、鼻噴劑…)主要目的在於給予戒菸者能以其他方式得到尼古丁維持血中濃度，得以緩解因尼古丁的戒斷症狀，而漸漸改掉吸菸的習慣行為。此外，可以避免戒菸者再暴露於一氧化碳的環境降低氧氣的供應，亦可避免與會誘導動脈狀硬化的氧化氣體與會致癌的焦油。                                                  基於任一種的尼古丁替代療法的製劑其人體的吸收速度皆不及吸菸，所以在此種療法的過程中需要一個效用時間快而穩定持久的製劑，但目前並無如此理想的選擇，而貼片是其中持續釋放尼古丁速率穩定持久，但其貼上後需要數小時才能達到穩定濃度，因此有研究建議在使用替代療法時，會選擇貼片併用一藥效時間快的製劑(例：鼻噴劑、咀嚼錠、口含錠)，此外，尼古丁貼片的使用方法最為簡易，所以在病患臨床使用上順服性最佳。                                                  戒菸貼片(尼古丁貼片)依菸癮者每日抽菸量的狀況選擇劑量，貼片每平方公分所釋出的尼古丁量是穩定的，因此用藥劑量的多寡取決於貼片面積的大小。給藥劑量不能以裁切貼片的大小做調整。每日使用一片，黏貼於清潔、乾燥與完整皮膚上，黏貼部位最好是軀幹、上臂或臀部，並用手掌輕壓10秒鐘，並且每日需更換部位貼用。當克菸貼片療程開始時，病人必須完全停止吸菸，若療程後期，患者借助於克菸貼片仍未能戒菸，則應停止治療。
目前市面上是否有褪黑激素的安眠藥？	Ramelteon是一種作用於褪黑激素受體的安眠藥，可調控晝夜性節律的正常睡-醒週期，臨床上用於治療入睡困難型失眠。安全性方面，ramelteon的副作用比起其他BZD類或非BZD類安眠劑輕微，較不會發生殘餘藥效、反彈性失眠或長期使用後產生的戒斷症狀。目前ramelteon並無健保價，使用需自費。就寢前30分鐘內服用，因會降低藥品之吸收，建議不要與高脂肪餐點併服或食用高脂肪餐點後立即服用。
藥品要如何保存？	醫院領回來的藥品，通常都怎麼保存及服用呢？首先，應該遵照指示服用，最好仔細看清楚藥袋和包裝上的標示和儲存方法，醫師處方是依照各人當時的身體狀況、年齡、體重等條件開立，除非諮詢過醫師，切勿擅自增減藥量或停藥，停藥日應該就是藥品治療使用期限日。                                        如何妥善保存藥品：多數藥品是室溫儲存，因此，乾燥、陰涼、避光的地方為最佳存放位置，其他應注意的事項有：                                                              1. 避免直接曝曬於陽光之下。                                                              2. 避免存放於浴室。                                                              3. 避免存放於兒童可以取得之處。                                                              4. 內服與外用藥品應分開存放，以免誤用。                                                              5. 保留藥袋及說明書、原包裝、有效日期、用法和用量等資料。                                                              6. 冰箱冷藏是指下層(2-8度C)，除非另有指示，液體藥品不宜冷凍。                                                              7. 定期檢查家中藥品，過期藥品不宜繼續保存。                                                              8. 藥品一旦開罐，罐內所附的棉花和乾燥劑，就必須立刻丟棄，否則它們會因吸附水氣，成為藥罐內的一項汙染源！（2011.04.12）
廢棄藥物如何處理？	對於家中剩餘的藥品，可以下列方法處理： 1.拿到居家附近有「台北市居家廢棄藥物檢收站」標誌的社區藥對於家中剩餘的藥品，可以下列方法處理：                                                                                                  1.拿到居家附近有「台北市居家廢棄藥物檢收站」標誌的社區藥局或醫院藥局，或全台一百多家「家庭用藥檢查站」，交由藥師協助將廢棄藥物依性質不同進行檢收分類：（1）固體廢棄藥品（例如：錠狀、膠囊藥品）；（2）液體廢棄藥品（例如：糖漿、藥水）；(3)廢棄針具（例如：糖尿病患者注射的胰島素針具、針頭）；（4）可回收藥物廢容器（例如：紙盒、空瓶），。                                                                                                  2.若您不方便將廢棄藥物送到檢收站或檢查站，最好不要將藥物直接倒入水槽或馬桶，以免污染河川。中華民國藥師公會全國聯合會建議，目前台灣地區共計有21座公有焚化爐，燃燒溫度都可以達到850℃以上，，已可處理含鹵化元素有機物及抗腫瘤藥物以外之過期藥品。現階段先將一般家中廢棄藥品經下列簡單處理的步驟丟棄至垃圾桶內，隨著垃圾運送至焚化廠進行焚化，未來仍應朝興建專用焚化爐方向著手：                                                                                                     （1）將剩餘的藥水倒入夾鏈袋中。                                                                                                     （2）將藥水罐用水沖一下。沖過藥水罐的水也要倒入夾鏈袋中。                                                                                                     （3）將剩餘的藥丸從包裝（如鋁箔包裝、藥袋等）中取出，全部藥丸集中在夾鏈袋裡。                                                （4）把泡過的茶葉、咖啡渣或用過的擦手紙等，把它們和藥水藥丸混合在一起。                                                （5）將夾鏈袋密封起來，就可以隨一般垃圾清除。                                                （6）乾淨的藥袋和藥水罐回收。（2012.04.12）
請問接種黃熱病疫苗後，多久才可以懷孕？	黃熱病疫苗是活性減毒疫苗，雖然理論上有引發懷孕中副作用之虞，但並無懷孕婦女接種後引起任何生育缺陷的報告。曾有研究結果顯示懷孕婦女接種疫苗後會些微增加自然流產的危險性。接種疫苗者在二週後血清中偵測不到病毒。有些其他的活性減毒疫苗建議於接種疫苗一個月後再懷孕。因此，可能可於接種黃熱病疫苗二週後懷孕，但較保守的作法則建議間隔一個月後再懷孕。（2012.03.12）
